"","formula","aics","bics","acc"
"756",756,908.108714629155,959.639443633503,0.58875
"191",191,908.232462582505,955.078579859184,0.66125
"72",72,908.430963220487,959.961692224834,0.65
"503",503,908.448452308119,959.979181312466,0.55875
"535",535,909.165482907898,946.642376729241,0.64625
"76",76,909.302170306599,956.148287583278,0.5875
"262",262,909.69695986323,961.227688867577,0.64625
"310",310,909.872861907124,961.403590911471,0.655
"616",616,909.893266900419,961.423995904766,0.67
"241",241,910.077374813374,956.923492090053,0.615
"302",302,910.094541730027,961.625270734375,0.63625
"220",220,910.404158177361,961.934887181708,0.58375
"868",868,910.475980391832,957.322097668511,0.61875
"617",617,910.60644293072,957.452560207399,0.65625
"867",867,910.752633892493,957.598751169172,0.59
"175",175,911.353731000641,958.19984827732,0.62875
"675",675,911.578132454543,963.108861458891,0.665
"508",508,911.652164636033,958.498281912712,0.6075
"848",848,911.7031215575,953.864627106512,0.68625
"400",400,911.753612827605,958.599730104284,0.69625
"281",281,911.984666557793,958.830783834472,0.65
"640",640,911.996427953778,963.527156958125,0.59125
"590",590,912.021828219582,958.867945496261,0.6525
"337",337,912.042218232072,963.572947236419,0.6725
"553",553,912.239817418537,954.401322967548,0.59
"173",173,912.252042714101,963.782771718448,0.6375
"143",143,912.339691796859,959.185809073539,0.6425
"588",588,912.536678087884,959.382795364563,0.7125
"56",56,912.550494638913,964.081223643261,0.6425
"245",245,912.629343771341,959.47546104802,0.62625
"20",20,912.721207770131,954.882713319142,0.58375
"249",249,912.754260926743,964.28498993109,0.68875
"842",842,913.042923107418,959.889040384097,0.6325
"643",643,913.051246250521,964.581975254868,0.66375
"587",587,913.136297597137,964.667026601484,0.64375
"308",308,913.183947301306,964.714676305653,0.63125
"968",968,913.219146803085,964.749875807432,0.61625
"655",655,913.466721596782,960.312838873462,0.7
"431",431,913.604281364053,965.1350103684,0.65
"764",764,913.719280176211,960.565397452891,0.65375
"227",227,913.720034328378,960.566151605057,0.62875
"891",891,913.74709779782,960.593215074499,0.69375
"533",533,913.875363856888,960.721481133567,0.63
"343",343,913.920092690116,960.766209966795,0.67625
"686",686,914.03277344652,960.878890723199,0.60375
"828",828,914.058858812675,965.589587817023,0.62375
"11",11,914.151551008803,960.997668285482,0.6175
"80",80,914.159828977726,965.690557982073,0.67125
"40",40,914.15991534313,961.006032619809,0.60875
"509",509,914.220953058922,965.751682063269,0.695
"537",537,914.328481779623,956.489987328634,0.64375
"792",792,914.487136978485,956.648642527497,0.65125
"422",422,914.547754826224,961.393872102903,0.6275
"236",236,914.600358923417,961.446476200096,0.6275
"881",881,914.648667621915,961.494784898594,0.68625
"465",465,914.658881760532,956.820387309544,0.6575
"574",574,914.791357269323,956.952862818335,0.58125
"853",853,914.943539461521,961.789656738201,0.7075
"374",374,915.077470890668,966.608199895015,0.56
"632",632,915.140536827294,966.671265831642,0.62625
"476",476,915.158816592836,966.689545597183,0.65125
"420",420,915.303757365907,966.834486370254,0.62625
"578",578,915.310733482341,957.472239031353,0.67375
"872",872,915.422619493007,962.268736769686,0.59
"145",145,915.484810249308,967.015539253656,0.62
"780",780,915.779220326689,967.309949331036,0.6575
"708",708,915.820661329229,962.666778605908,0.60125
"986",986,915.869098108479,967.399827112826,0.615
"328",328,915.899376932436,967.430105936783,0.67125
"120",120,915.913819238434,967.444548242781,0.60875
"444",444,916.065628552329,962.911745829009,0.65
"659",659,916.496718149858,963.342835426537,0.6275
"394",394,916.518417018466,963.364534295145,0.675
"650",650,916.534224196336,963.380341473015,0.69
"595",595,916.627412683827,963.473529960506,0.6425
"268",268,916.708672841836,958.870178390847,0.5825
"363",363,916.737261709074,968.267990713422,0.64
"585",585,916.825202753335,968.355931757682,0.64875
"382",382,916.832789791139,963.678907067818,0.64375
"453",453,916.956409933308,959.117915482319,0.65625
"681",681,916.976763504377,968.507492508725,0.65875
"797",797,917.09231403231,968.623043036658,0.66
"816",816,917.131993259509,968.662722263856,0.6125
"463",463,917.159639025694,968.690368030041,0.70125
"704",704,917.17258950968,964.01870678636,0.68625
"24",24,917.22075719627,964.066874472949,0.59
"19",19,917.226229771145,964.072347047824,0.6975
"277",277,917.253664355736,968.784393360083,0.575
"982",982,917.408451098226,968.939180102573,0.62375
"600",600,917.679675017561,964.52579229424,0.595
"155",155,917.776211258517,969.306940262864,0.64
"969",969,917.870260107703,960.031765656714,0.635
"776",776,917.901543350615,969.432272354962,0.65375
"817",817,917.946349772469,964.792467049149,0.64125
"514",514,917.95698627975,969.487715284097,0.62875
"599",599,917.999647193236,960.161152742247,0.6925
"615",615,918.180436285676,969.711165290023,0.62625
"333",333,918.196288843699,960.35779439271,0.6225
"229",229,918.227314712085,969.758043716432,0.7075
"354",354,918.239799488034,969.770528492381,0.66375
"886",886,918.241652216342,965.087769493021,0.63625
"606",606,918.365744209667,960.527249758678,0.57875
"565",565,918.386736488142,969.917465492489,0.60125
"625",625,918.546605731781,970.077334736128,0.665
"850",850,918.548902620655,970.079631625002,0.64375
"665",665,918.605145442375,965.451262719054,0.645
"285",285,918.82093793965,970.351666943997,0.62625
"782",782,918.845632994847,970.376361999194,0.59875
"644",644,918.924536621481,965.77065389816,0.6025
"485",485,918.946181291157,961.107686840169,0.685
"326",326,919.043811549371,961.205317098383,0.58375
"962",962,919.246077342245,966.092194618924,0.64
"478",478,919.295449336783,970.82617834113,0.68375
"517",517,919.381878780107,966.227996056786,0.64875
"443",443,919.428763067856,966.274880344535,0.6425
"113",113,919.541974919716,966.388092196395,0.625
"702",702,919.549600381791,971.080329386138,0.64875
"674",674,919.737937860821,966.5840551375,0.6525
"772",772,919.764515921316,966.610633197996,0.57375
"718",718,919.787527341405,971.318256345752,0.61375
"869",869,919.796439984911,971.327168989259,0.65
"284",284,919.989954204235,966.836071480914,0.69
"421",421,920.021918019875,966.868035296554,0.6
"909",909,920.113980635191,971.644709639538,0.57875
"454",454,920.141777739985,966.987895016664,0.625
"176",176,920.185334665137,971.716063669484,0.59125
"551",551,920.343218389768,971.873947394115,0.61625
"583",583,920.368710770847,967.214828047527,0.58375
"370",370,920.764846335244,967.610963611923,0.635
"69",69,920.820460287234,972.351189291581,0.57375
"261",261,920.904605786804,967.750723063483,0.655
"936",936,921.099171003608,972.629900007955,0.59375
"523",523,921.117986933981,967.96410421066,0.65
"861",861,921.20004888466,968.046166161339,0.7025
"313",313,921.223845524097,972.754574528444,0.57875
"367",367,921.348180734312,972.878909738659,0.675
"439",439,921.363272591619,972.894001595966,0.63125
"47",47,921.460005549024,963.621511098036,0.6525
"161",161,921.523023250549,973.053752254896,0.53125
"152",152,921.524874458139,968.370991734819,0.635
"609",609,921.646067307037,973.176796311385,0.6675
"258",258,921.659101377596,968.505218654275,0.66875
"171",171,922.007563494144,968.853680770823,0.645
"349",349,922.019371418488,968.865488695168,0.6225
"930",930,922.02761028205,968.873727558729,0.54875
"16",16,922.078497191032,968.924614467712,0.695
"560",560,922.115868283068,973.646597287415,0.585
"581",581,922.137509614159,973.668238618506,0.68375
"487",487,922.209699819155,973.740428823502,0.59125
"112",112,922.307021925231,969.15313920191,0.65
"761",761,922.442615186012,969.288732462691,0.65625
"74",74,922.537129048784,964.698634597795,0.6775
"200",200,922.632754516003,969.478871792682,0.645
"611",611,922.645172758608,969.491290035287,0.63625
"64",64,922.901439414081,969.74755669076,0.64375
"427",427,922.960891311384,969.807008588064,0.66875
"330",330,923.070358096721,960.547251918064,0.61125
"110",110,923.116239562889,974.646968567236,0.6025
"468",468,923.14343668326,974.674165687607,0.64625
"43",43,923.235862671866,970.081979948545,0.64875
